,Classificacao,Tweet
1,Fanfic,acabei de passar mal de chorar com uma fanfic vhope será que eu tô tão carente assim 
2,Fanfic,eu escrevendo fanfic aqui vinny é o próximo eliminado do e após a sua saída ele terá acesso aos vídeos e perceberá q foi usado o tempo todo e decide q não quer mais ter nenhuma relação com eli pois ele só foi usado e humilhado 
3,Fanfic, rt e likes hitei foi vão ler minha fic 
4,Fanfic, gnt a melhor fic é o cara que foi no catfish falando que queria conhecer a menina que ele conversava pq ele tinha certeza que era a katy perry dai descobriram que nao era ela e ele surtou cismou que o programa tinha pagado a garota pra fingir que ela tinha criado um fake
5,Fanfic,oi vc poderia dar ua olhada na minha fanfic taekook que se passa nos anos 
6,Fanfic,to triste posta a fanfic que eu fico feliz 
7,Fanfic, viu a fic nova da isa mt boa
8,Fanfic, boa fic 
9,Fanfic, eu acho sim fico pensando se fosse um padrão no lugar ou um gay menos afeminado tenho quase ctz q muita gente desse site ia aplaudir a fic
10,Fanfic, a ray tá preparando a carinha da fic aí quando postar jogo lá no grupo atenta
11,Fanfic, e a clamp que começou como fanfic de cavaleiros do zodíaco
12,Fanfic,claramente um texto tirado diretamente de uma fanfic 
13,Fanfic, juro e teve uma hora q a gnt se olhou na msm hora ele ctz tava okhando atras de mim mas deixa eu na minha fic
14,Fanfic,mano kkkkkkk ver o lendo a propria fanfic é a oitava maravilha do mundokkkkkkk
15,Fanfic,eu de tpm só sei chora choro por bts por fanfic por causa de reality show qualquer coisa já não tenho mais lágrimas no meu corpo
16,Fanfic, mds não é um brinde a fic mo 
17,Fanfic,li fanfic i vi um comentario achei mó lrgal i tuitei 
18,Fanfic,até hj n sei se é fic ou n mas meu pai sempre contou essa história
19,Fanfic,queria agradecer a pessoa que deixou kudos em hábitos porque eu reli a fic toda de novo e agora voltou todas as outras ideias de cenários do hinata e a treinadora em sp
20,Fanfic, cade a fanfic eu leio
21,Fanfic, sima ele lê muita fanfic deve ser problema
22,Fanfic,como lidar com meus sentimentos como uma adulta e não como uma adolescente fanfiqueira google pesquisar
23,Fanfic, trisal de fic aceita amiga
24,Fanfic,meu deus eu não tô pronta pra terminar essa fic 
25,Fanfic,esse loco contando a maior fic do universo a historia mais falsa q eu ja vi
26,Fanfic,tem tanta fic q eu queria comprar o livro e fico pessima pq é tudo tempo limitado e n é sempre q tenho como comprar os livrinhos queria tanto o de duplex 
27,Fanfic,o unviel de ddaeng só me lembrou uma fanfic específica
28,Fanfic, toda hora uma fic nova vei
29,Fanfic, a fic da gata toda pronta só faltou um boy se apx por ti enquanto tu alimentava o cachorro ai vcs começam q conversar descobrem q tem varias coisas em comum etc etc
30,Fanfic,tb ne o msm plot daquela fic
31,Fanfic,odeio qndo fico sem ideia de fic parece q eu esqueço como q dorme
32,Fanfic, ne impossível nn ter depressão qnd htwac eh sua fav fic nao botei fb pq porra o tanto q eu sofri pra ter um mini final feliz mas nn q seja ruim eh ótima 
33,Fanfic,só presto pra escrever fanfic pq pra ler meupaiamado já tô sofrendo antecipadamente e ngc nem aconteceu como faz 
34,Fanfic,tava pensando tanto em pegar uma fic minha e transformar em um conto totalmente meu com personagens criados por mim 
35,Fanfic,cadê uma namoradinha pra ficar lendo fanfic em voz alta olhando nos meus olhos
36,Fanfic,essa fic é meu maior orgulho vei queria escrever assim sempre que ódio vou chorar 
37,Fanfic, mds a fic que contaram pra essa garota jkkkkk
38,Fanfic,a fic na minha mesa já 
39,Fanfic, que bom que ele não tampou iriam achar que ela estava grávida kkkkkkkkkkk vê o contexto ela manda uma msg ele esconde e dps ela escreve tô apavorada ele responde a msg escondida jesus isso é impossível a fic tava pronta hahahahahah
40,Fanfic, ela faz a fic dela
41,Fanfic,eu colocando bastante danyok na fanfic pra superar oq tá acontecendo em not me
42,Fanfic,vi dois segundos nem sei se vi mesmo e já criei toda uma fanfic parabéns por ser trouxa 
43,Fanfic, a fic foi boa kkkk mas eles so descobrem que ele pinta na quando a sophie menciona que ele é ótimo pintor pelo menos é isso que livro diz
44,Fanfic,pra quem tá contando coisa de traição de piloto favor fazer isso com detalhes sendo verdadeira ou não fofoca boa é fofoca detalhada e fic vai ser melhor julgada se tiver detalhes né aproveita pra estimular a criatividade também
45,Fanfic,vou voltar a ler fanfic não ironicamente
46,Fanfic,eu leria horas a continuação dessa fic 
47,Fanfic, iih qual é a fic serassi vem aí 
48,Fanfic, você simplesmente sumiu da minha tl de vdd eu achei que vc tinha sla superado o site ter enfim vc me lembra vôlei e minha capa de fanfic
49,Fanfic, e fanficar d achar qui o pedido vem nessa viagem si a laís for e claro kkkkk
50,Fanfic,mano n é possível q tão fazendo fanfic hot do daelo juro o menino tem literalmente anos
51,Fanfic, lembra aquela frase que você falou que parecia trecho de fanfic vou achar
52,Fanfic, gravida fica assim tb kkkkk tô zoando não cai nessa fic kkkkk
53,Fanfic, ela faz a fic dela kkkkkkk
