Data;Usuário;Nome;Tweet
2022-03-14 23:58:57+00:00;borahaebtxt;our blues⁷🦋 (vi);acabei de passar mal de chorar com uma fanfic vhope, será que eu tô tão carente assim?
2022-03-14 23:58:47+00:00;SouzaSeriam;Seriam Souza🇧🇷;Eu escrevendo fanfic aqui:  Vinny é o próximo eliminado do BBB22, e após a sua saída ele terá acesso aos vídeos e perceberá q foi usado o tempo todo, e decide q não quer mais ter nenhuma relação com Eli, pois ele só foi usado e humilhado. + #BBB22
2022-03-14 23:58:42+00:00;its1983again;MariJoopter (:( Historias PatPran 📌;11 rt e 45 likes, hitei foi? vão ler minha fic! https://t.co/kux67PGMJY
2022-03-14 23:58:39+00:00;claraportos;clarinha;@bawolffs @hendricks270 @legendsagents @Heregeee @Gaspariark Gnt a melhor fic é o cara que foi no catfish falando que queria conhecer a menina que ele conversava pq ele tinha CERTEZA que era a katy perry. Dai descobriram que nao era ela e ele SURTOU, cismou que o programa tinha pagado a garota pra fingir que ela tinha criado um fake
2022-03-14 23:58:34+00:00;hwasapwr;𝐵𝑖𝑏𝑖 📖: Trono Destruído | mima o fix;Oi vc poderia dar ua olhada na minha fanfic taekook que se passa nos anos 90?! https://t.co/XAhc3sfYxT
2022-03-14 23:58:24+00:00;marizhers;Mari | giovanna's bday! 🥳🍰;to triste, @drszage posta a fanfic que eu fico feliz 😭😭
2022-03-14 23:58:12+00:00;hstyIesdrunk;.;@asheijimeus viu a fic nova da isa mt boa
2022-03-14 23:58:03+00:00;maufelip;maufe 🐺;@lycosinha9 boa fic 4/10
2022-03-14 23:57:50+00:00;ai_marcio;marcio sensitivo;@brunoferreiraeu Eu acho sim...fico pensando se fosse um padrão no lugar ou um gay menos afeminado, tenho quase ctz q muita gente desse site ia aplaudir a fic
2022-03-14 23:57:17+00:00;kyoongni;pamo 📌;@mrsmanuvilhosa @bbhsooist a ray tá preparando a carinha da fic, aí quando postar jogo lá no grupo!!! ATENTA
2022-03-14 23:56:56+00:00;MandiSpy;belovend;@naosoualiz E a Clamp que começou como fanfic de cavaleiros do zodíaco
2022-03-14 23:56:45+00:00;SupeRavenclaw;Pamz ⚖️;Claramente um texto tirado diretamente de uma fanfic +18 😂 https://t.co/9QNeMSwCNz
2022-03-14 23:56:43+00:00;floramiIIie;📖: slammed;@taylorbailarina JURO E TEVE UMA HORA Q A GNT SE OLHOU NA MSM HORA (ele ctz tava okhando atras de mim mas deixa eu na minha fic
