Data;Usuário;Nome;Tweet
2022-03-14 23:51:25+00:00;fealface;Felipe Alface;Gente, será que na próxima festa já vamos ter mais episódios da minha fic predileta? #BBB22 https://t.co/cFaVcKosZB
2022-03-14 22:42:56+00:00;GuiTintel;Gui Tintel ✊🏽🏳️‍🌈;Escrevendo uma fic onde o Viny se recusa a sair do BBB e deixar na casa o seu amor proibido, por isso envenena a sua bebida e de Eliezer em segredo, pra que os dois continuem juntos na casa pela eternidade. #BBB22
2022-03-14 22:37:52+00:00;im_not12years;A__lany;@imokthanxx Oxi, isso ai n é fic de filme da Netflix?
2022-03-14 22:20:10+00:00;writter_BeTauro;PRÉ VENDA NO FIX 💙 Beatriz Tauro;Tô terminando uma oneshot que é fanfic de um livro nacional que li esses dias e vou publicar ele no wattpad E ai vou começar a trabalhar em um romance fake lovers pra publicar na Amazon
2022-03-14 22:07:11+00:00;disantoestilo;falomesmo👑;@vinttykas @lorenagolucci Eu ia virar escrava do meu namorado por um dia e detalhe depois  q a Jade saiu eu discuti com ele quase q a gente termina , porq ele foi defender Arthur,é verdade não é Fic ( combinamos depois de não comentar mais bbb kkk)
2022-03-14 21:28:55+00:00;tommowaybitches;jullie ×͜× is a complete mess;lá vou eu adicionar mais uma fic na minha lista que só não é maior que minha wish list da amazon https://t.co/p3Gl9vBwCU
2022-03-14 21:06:04+00:00;Putz_Ra;Rafa 🌪🏁🌊;@rickcomenta A fic meu pai, esquece a Jade, ela não está mais no BBB 😊
2022-03-14 20:35:53+00:00;AnnaCelico;Anna Tchélico;Então, gente, essa fanfic que publicaram, é impossível de ser minimamente crível. Ou vocês acham que um Metallica da vida vai pisar num palco montado por um monte de crackudo ou a Globo vai transmitir o palco desabando a qualquer momento, pelamor...
2022-03-14 19:58:26+00:00;CiroMonteiro2;Ciro Monteiro;@ylunaheart @Catheri78159001 @amanaamandaa @CentralReaIity Tem que inventar.bbb sem conteúdo, é o BBB de público fanfiqueira.
2022-03-14 19:36:40+00:00;euphosatzuria;ً;encantada passando na globo e eu imediatamente penso nas satzu da fic 1950 🥺
2022-03-14 19:19:48+00:00;anacamargo99;Nanacita 50% 🌵💸🏁🌊🍞🧺;@tuitaabela @nescattus Acho que é fic sim! Pq até agora ela não fez show inclusive tem um contrato que a @tvglobo fez ela assinar pra fazer show só após final do @bbb
2022-03-14 19:16:04+00:00;hildamariana10;hildinha 🌪🏁🌊🌩️;Galera to afim de me iludir. Algum BBB internacional já teve repescagem no meio do programa? To rendida na fic kkkkkk
2022-03-14 19:13:05+00:00;joninhaan;Joninhan;E pensar que eu torcia pra ele, mas ele se entregou pra Fan Fic, vem se tratar aqui fora Viny. #BBB #BBB22
2022-03-14 18:43:36+00:00;oli9618;oli;Nova fic: Jade na Globo gravando a vinheta de repescagem 😂😂😂
2022-03-14 18:08:15+00:00;krshna_mar;Cristhina 🌹🦋💋;Viny partindo p cima do boy, fazendo a fic de milhões, 1o casal homo do bbb, sendo pipoca, nordestino e tomando hate de geral por não ser um escolhido sudestino #ficaviny https://t.co/ZQSn88tm8h
2022-03-14 18:08:00+00:00;Caio_Targaryen;Caio Lucas;@thiaagopdias @dieggoborges1 Eu discordo, tiraram o Gil logo? O Gil que tbm teve vários closes errados do tipo? Não, o Gil recebeu panos pq ele era engraçado e tinha algo a oferecer no jogo. O Vyni simplesmente não tem méritos. Sobre criar fic com hetero, fora da casa é aceitável, agora vc tá dentro do BBB e
2022-03-14 18:04:15+00:00;lolokcolanacola;YUUUUQUEEEE;gente mas q ta rolando nesse bbb, a fanfic? https://t.co/eomSm6EskL
2022-03-14 17:56:52+00:00;arhiani;ani 🌜;o #vyni não foi pro #bbb22 como foco de mudar sua vida financeira, ele foi pro bbb pra viver uma fic com o #eliezer, e por isso que o brasil ficou tão decepcionado… coloquem ele num reality de relacionamento q ele encaixa direitinho!
2022-03-14 17:41:59+00:00;itsindd;ingred;sério a melhor coisa que existe nesse bbb é a fic da pregnat
2022-03-14 17:04:30+00:00;Juuhhh__B;𝒥𝓊𝒽;Ele tá vivendo a fanfic dele no bbb https://t.co/e0qbfPBQL6
2022-03-14 16:56:05+00:00;Naotopragraca;Carregando... 성훈;Falaram pra eliminar as plantas mas 2 plantas já tão indo pra final 🗣 e a melhor parte, as mídias manipulam falas e gestos distorcidos lá dentro e pra quem n se informa é munição pra falar merda, tocar hate atoa por uma fic. Mas é isso, BBB pra mim era pra entreter e n estressar
2022-03-14 16:42:43+00:00;lil_yeonkie;ray | kie | 🌹👁️;@DOJAHONG ASSIM AKSJAKAJAK Pior que ela deu uma questão pessoal que era sobre o nosso livro preferido e falou que o dela era a bíblia Eu: sim, é uma ótima fanfic pra assustar trouxa
2022-03-14 16:33:27+00:00;ecleticacaraio;vicnoia;a larissa eh a maior fanfiqueira do bbb lkkk
2022-03-14 16:29:09+00:00;entalouu;italo;@Kauuuu_ @diomalgarise @veniicebiatch @gabsromanoff @goostarr KKKKKKKKKKKKKKKKKa fanfic gay do bbb meu pai amado, eu n sei como reagir a isso aq amg, eu tô...
2022-03-14 15:32:36+00:00;katycomics;gui parker;a fic da filha da nat foi a melhor coisa q vi em anos no bbb
2022-03-14 15:19:07+00:00;di__barreto;Chaverinho do terror;Eu morro com os memes da Fic da Naty do BBB grávida 😂
