Data;Usuário;Nome;Tweet
2022-03-14 22:50:15+00:00;booksbybellaz;isa;postei um vídeo que leio fanfic quando tenho dias ruins por ser um coping mechanism (https://t.co/tgYp8VzVPB ) e… minhas fics fav atualizaram 🤧🤧 é sobre perder mas perdi feliz
2022-03-14 21:25:47+00:00;aquelamuriela;🇵🇸luz del fuego🇵🇸;eu acho engraçado que as fanfic que a galera tinha na adolescência sempre envolvem romance sendo que a minha fanfic era que o gandalf, o d*mbl*dore e o oráculo de w.i.t.c.h. apareciam ao mesmo tempo pra me pedir pra salvar os mundos deles https://t.co/RFOZ17AmwF
2022-03-14 19:40:07+00:00;Cris_2021_;Cris;@o_antagonista Na fic que vcs criaram ele já é presidente é? 😳🙄
2022-03-14 16:58:26+00:00;soobaeu;lua meio off;to querendo ler coisas em portugues e como eu nao aguento wattpad e quase nao tem fic em pt no ao3 eu vou começar a procurar livro de vdd que tragedia
2022-03-14 13:30:45+00:00;gdacunha;Guilherme da Cunha;@guilherme_gom @otempo @marcelatropia @MateusSimoesBH @lauraserranomg Medioli candidato ao governo de Minas tá apelando e colocando o jornal de propriedade dele para criar fanfic e tentar colocar pulga atrás da orelha da população contra o excelente trabalho do nosso governador @RomeuZema, que será concorrente dele.
2022-03-14 13:12:31+00:00;namuxyz;Mari ⁷ | 2.5k;a qualidade do vídeo é de centavos mas a fanfic é de milhões  https://t.co/oJHBRo9TyX
2022-03-14 10:29:06+00:00;victorantunes_;fanboy do Zé Gotinha;Fonte: https://t.co/HI8g5lbsj8 Stalin casou duas vezes. A primeira esposa morreu em 1907. A segunda morreu em 1932 E se essa tal lei existiu, eu pelo menos nunca ouvi falar O cara meteu a fanfic na cara dura pra dizer que hoje não existe honra na política kkk Que negócio ruim https://t.co/hXv1IBWHZU
2022-03-14 07:18:47+00:00;Kidzastr;Moo 🦋 Radical Dreamer ~;Tá, eu sei que foi a estrutura política, social e econômica que roubou a alegria de viver de todo mundo, mas poxa, chatão adulto formado torrar a paciência das criança fanfiqueira né HAUAHAUAHAUA
2022-03-14 04:19:44+00:00;2MinPjct;𝟐𝐌𝐈𝐍 𝐩𝐫𝐨𝐣𝐞𝐜𝐭⁷;Saiu mais um capítulo de Somos mais clichês que uma fanfic, Jimin!! 🥺🥺 #2minpjct #yoonmin #minimini Spirit: https://t.co/CKANCFZdeS Wattpad: https://t.co/wJHe7y9fct AO3: https://t.co/tOFaDiDk3B Inkspired: https://t.co/4GEl1ouuae
2022-03-14 03:18:34+00:00;favrudyp;M.;"@hwkluv me tira do flop no ttk amor, o nome da fanfic é “Spider Man is my boy friend - Dove and Tom” meu user la é @maybankbr &lt;3  https://t.co/0MpylusiOp"
2022-03-13 23:27:10+00:00;sucrettesab;sab 📚 está estudando;com 13 anos, eu e meu melhor amigo estávamos criando uma fanfic no wattpad sobre um futuro utópico em que eu era uma escritora e cineasta famosa morando em uma MANSÃO e ele era o PRESIDENTE DO BRASIL e nossos filhos começavam a namorar https://t.co/OcctYTOGVj
2022-03-13 22:32:24+00:00;labruxamorgana;𝖒𝖔𝖗𝖌.;Confira o vídeo de Morg.! #TikTok https://t.co/OXbJYxNKCS quem adivinha a fanfic larry só pela foto? essa ta fácil
2022-03-13 22:19:57+00:00;swiftkrbk;bbbabi 💗;@erencypher vamos fazer uma comunidade dos haters de social media au e seu publico que acha que au é sinônimo de fanfic eu sou a presidente
2022-03-13 21:27:48+00:00;28ghosts_;mar LTWT;algum sabe se existe fanfic sáfica da máfia?? me indiquem se souberem pd ser em pt ou ing falto faz
2022-03-13 19:20:29+00:00;leon_ollivier;León Ollivier - ELAS DISPONÍVEL NA AMAZON!;https://t.co/3QgUQnCaWI Gostei desse tipo de vídeo, me dirto bastante fanficando
2022-03-13 17:13:02+00:00;eutmarangon;Eu, maybetmarangon;A pessoa faz uma fic q mostra q bolsominion é gente boa, já q ela veio trocando papo super de boa. Talvez o problema seja a sua visão q tudo é política https://t.co/oU0co60Enc
2022-03-13 17:09:59+00:00;paupicon01;Lara;@iampauloandre Em falar em fanfic, vão lá dar uma força no edit de jadré https://t.co/pO9X6rGY9I
2022-03-13 16:12:21+00:00;MINSE0KA;🍊Hoba⁷🍊 Namora o Yoongi;Pra quem lê ALH e usa tik tok eu postei trailer da fanfic lá pra poder divulgar. Se você puder dar like pra alcançar mais pessoas, significaria muito. Vou tentar postar mais vidinhos sobre a fic lá 🥺💜 #asleisdehoseok  https://t.co/cYVA96eAcc
2022-03-13 15:33:53+00:00;kkkaza;H Kaza ¯\_(ツ)_/¯;@ItaloPetraglia Essa nem parece fanfic pq não deu mau exemplo Mas é o pensamento de titica de pombo que acha que clicar 2 botões numa urna define a sua vida (O msm serve pra quem diz que quem vota no PT é ladrão.... A gente sabe que a maioria é só trouxa mesmo)
2022-03-13 14:38:01+00:00;ederazevedo;🌪🌪Vento cala Mulambo 🌪🌪;@transcurecer Faltou um criança de 3 anos falando sobre ciência política, suástica tatuada e xingamentos nota 3/10 pela fanfic. Melhore da próxima vez 🤨
2022-03-13 11:44:08+00:00;GeovaniaVilar;Geovânia Vilar 🌵;@ZAMENZA Pelo o que vejo que se criou uma fic de que ela queria ser uma Juliette. Mas pelo o que vejo dela, nunca se mostrou isso, o a vi é ela passando por vários grupos interagindo c todo mundo, fazendo meio q a política da boa vizinhança Por isso demorou a ser votada
2022-03-13 09:59:32+00:00;BlackCambises;🇧🇷 Black Guardian Cambises 🇧🇷;@ADIVINHO @hoje_no Caiu direitinho na Fanfic do Putin. Você tem que entender que nada justifica essa Guerra, Ucrânia é um país democrático e soberano, com representação de todo povo na política, inclusive os pro Rússia. Toda justificativa dessa Guerra é falsa.
2022-03-13 01:55:00+00:00;Rauanna_B;Rauanna 🌪;Lendo sobre política e sistema de saúde mas queria mesmo era ler fic.
2022-03-13 00:24:05+00:00;camiladiascarn1;Mila Carneiro 🦑;Eu comentei isso aqui em janeiro (info dos passarinhos do @AnarcoFino ) e teve quem dissesse que era fic, pois recebam: Orlando é bem abastecido de informações e repassa tudo nas lives dele https://t.co/v0FFnp8PSn
2022-03-12 21:19:47+00:00;ZaidanMarcela;Marcela Zaidan 🏠;Poucas coisas na Internet são mais deprimentes do que fanfic política envolvendo crianças. Só acredita que criança pequena se importa com política, odeia um político ou ama o outro quem não convive com criança nenhuma.
2022-03-12 19:25:37+00:00;kra0n;L de lirista;@van_villeneuve @havvannaa @BorgesPexoto @abarbaravegana eu duvido mt q ela faça alguma coisa na área política e econômica, o perfil dela so tem fanfic e conjunto de roupa velho kkkkk
2022-03-12 19:04:07+00:00;leon_ollivier;León Ollivier - ELAS DISPONÍVEL NA AMAZON!;https://t.co/AjKgRbvpK1 Bora fanficar com efeito? Essa foi a minha fic abo
2022-03-12 17:52:34+00:00;satuvous;𝘿𝙚𝙫𝙞𝙣𝙝𝙖📢⁾⁾;HongJoong da minha fanfic se manifestando pt. 98615192 https://t.co/UfSSHEir2s
2022-03-12 16:58:00+00:00;xdaegu_;camis⁷;@curiousswriter Aproveitando o assunto pra falar q traduzo uma fic (com autorização) e ela literalmente passa como pt/br pq faço um bom trabalho. Não tem como usar tradução livre, gente. Eu faço bom uso de todas as expressões do idioma inglês passando pro pt da nossa forma.
2022-03-12 16:12:44+00:00;estromatoli;Estroma Toli;@AconteceCaralho Legal que o subconsciente do esquerdista sabe qual é a verdade e ele descreve na fanfic dele: “a culpa não é do presidente”
2022-03-12 13:49:25+00:00;cicerovsampaio;Cícero Com Ciro;@Lsdiana Essa dai é especialista em fic política...
2022-03-12 13:28:10+00:00;barcelsna;xavinho;meu deus tem fanfic do presidente da ucrania com o da frança o povo chapa
2022-03-12 13:07:36+00:00;Pitangostosa;ANTIPLÁSTICO;@leonominato @em_com Maior rival do PT em Minas e o desavisado brotando com FIC.
2022-03-12 03:35:08+00:00;CHAANN_97;josé៹ oddinary;"@yongbokcosmic fic kkkkkkkkk forçaram demais o su hyeok com a presidente amg  ele e o cheong san &gt;"
2022-03-12 00:07:09+00:00;arsnessan;nessa, a suculenta 🪴;The Eros - GOT7: 2jae, markjin - pt - Onde Jinyoung toma uma poção para conquistar Jackson e Youngjae à Mark, mas dá TUDO ERRADO. Eu me rachei toda com essa fanfic, tanto que quando a autora voltou a postar eu li toda de novo. Muito boa! https://t.co/82N08PML9M
2022-03-12 00:03:12+00:00;arsnessan;nessa, a suculenta 🪴;Touch - GOT7: 2jae - pt - Youngjae é um violinista que não consegue mais se concentrar depois que conhece Jaebeom, um bailarino. Essa fic aqui me faz lembrar de outro ship meu eu gosto muito, mas tá incompleta 😭 https://t.co/NsEw51oFU3
2022-03-11 23:58:27+00:00;arsnessan;nessa, a suculenta 🪴;Gay Panic - BTS: taekook, side namjin e yonseok - pt - Taehyung é o garoto novo meio lerdinho porque nunca foi pra escola e desperta a ira de Jungkook, o valentão. Essa fic É MUITO ENGRAÇADA! É um clichê bem escrito que vale a pena https://t.co/VfssRRBbUz
2022-03-11 23:31:58+00:00;arsnessan;nessa, a suculenta 🪴;Workaholic - GOT7: 2jae - pt - Jaebeom é um CEO e Youngjae seu assistente que trabalha demais e Jaebeom fica aporrinhando. Clássico ceo fic, gosto muito https://t.co/iWJN9cwiA1
2022-03-11 23:27:05+00:00;arsnessan;nessa, a suculenta 🪴;Sinais - GOT7: 2jae - pt - Jaebeom se interessa por um rapaz na faculdade só que ele é surdo, entãoo pra se aproximar ele aprende a língua de sinais. Gostei muito da forma como aborda a deficiência nessa fic. https://t.co/8LgrlEioXc
2022-03-11 21:55:43+00:00;eradeaquarius;Bruno Carvalho;"@ProblemaTenho @CeliaVilela5 @AntunesClauton @Paulo08631563 @randolfeap Não há nada de realismo aqui: só uma fanfic alucinada nascida de um 𝘸𝘪𝘴𝘩𝘧𝘶𝘭 𝘵𝘩𝘪𝘯𝘬𝘪𝘯𝘨 típico do bolsonarismo envergonhado da tal ""3ª Via"". Essa da ""Petrobrás quebrada nos anos do PT"" é fakenews requentada de tempos em tempos.  https://t.co/hfw8VXaLwS"
2022-03-11 21:35:47+00:00;2MinPjct;𝟐𝐌𝐈𝐍 𝐩𝐫𝐨𝐣𝐞𝐜𝐭⁷;Segundo capítulo dessas fanfic que mexe com nossos corações yoonmin sofredores! Reminiscência está no ar! @mygpjm_Stoessel #2minpjc #yoonmin #minimini Spirit:https://t.co/lw07xz7LPE Wattpad:https://t.co/88lPIrIhSF Ao3:https://t.co/t6RgeFd99u Inkspired:https://t.co/32fsoc5KcA
2022-03-10 18:44:21+00:00;Vince_Vega86;VinceVega;@AconteceCaralho Que vergonha ter uma filha criança falando palavrão e se preocupando com política. Ainda bem que é fanfic. Meus filhos, eu protejo mesmo. Eles não tem ideia de que exista esse tipo de idiotice pra se preocupar na vida. E não falam um palavrão.
2022-03-10 18:25:55+00:00;ZaidanMarcela;Marcela Zaidan 🏠;Começou essa merda de fanfic política forçando criancinhas politizadas. Haja saco!!!!!!!!! Que no inventa isso é tão burro assim para não enxergar que ninguém acredita???? https://t.co/rTefsP5XjI
2022-03-10 02:50:48+00:00;bierr_;Bier;@etywx Amggg KKKKKKKKK dps de 13 anos to escrevendo uma fic e parece q to esticando tds os musculos do meu cérebro porem é aquela coisa, em pt simplesmente n fica tao bom qnt em ing (humilde opiniao)
2022-03-10 02:05:55+00:00;ViegaKaio;KKKaiudapamonha;@ehmolekkjj @Zhangbatman_ @pinheirovittorr Essa é a realidade A fanfic dele é achar q é um bom presidente kkkkkkk
2022-03-10 01:39:10+00:00;kissywalls;ke spoilers!;duvido ajudarem a engajar minha fic dando so um like aqui ☹️ https://t.co/ApiqV5Kvvz
2022-03-10 00:40:24+00:00;afranhsz;franh;vou ler fanfic pois debater política com kpopper é igual falar com a parede
2022-03-09 22:00:58+00:00;unsta_y_ble;Finny ODDINARY;@hyunespainting Praticamente só tô lendo fic em inglês agr, pq o ao3 quase não tem nada em pt (principalmente do Stray Kids) e eu me recuso a ficar vendo propaganda a cada cap no wattpad
2022-03-09 21:54:25+00:00;onedefgree;andressa;olha bem pra minha cara de quem vai se estressar com kpopper bolsonara inventando fic política
2022-03-09 19:48:36+00:00;monetrings;daniel;@S_daario eu vi as fotos em baixo mo. surreal isso. mas tb td hr vejo alguem falar de neonazismo la, inclusive que o presidente apoia (oq é claramente um achismo) como se fosse a maior vdd do mundo. passo mal nas lendas da fic
2022-03-09 18:16:48+00:00;laisborgesGO;Lais Borges;@aboutwind @MauMeirelles Vc pode criticar o MBL a vontade, ninguem ta livre de criticas. Agora dizer q eles afundaram o Brasil e q foram responsaveis pelo fim da lava Jato... Ai e fan fic! Ai é estar em um universo paralelo
2022-03-09 17:32:59+00:00;milkotch;benda;@fanfiqueira_bi acho q retiraram todas as traduções em pt br
2022-03-09 15:43:54+00:00;lorenalittrell;Loren Littrell📌 2º lote de Quebra Galho no fixado;EU NÃO CREIO QUE TIREI MEU DUMBO????? OVO CHORAAAA 😭😭😭😭😭😭 https://t.co/XIWxIiXnF5 #chanbaek #fanfic #exo via @Quizur_PT
2022-03-09 15:34:43+00:00;mxseokie;thai;Eu tirei: Oh Sehun! E você? https://t.co/32kUnReulf #chanbaek #fanfic #exo
2022-03-09 15:30:03+00:00;icyorpheus;léo | off para escrever ✍️;Eu tirei: Joy. Só Joy.! E você? https://t.co/NGKrnzO5ct #chanbaek #fanfic #exo
2022-03-09 15:30:03+00:00;bydestinywings;Skyie, no paraíso 🎸;IRRUUUUU, Eu tirei: Joy. Só Joy.! E você? https://t.co/I3xATM48Vs #chanbaek #fanfic #exo via @Quizur_PT @sorvetae @eden_theparty
2022-03-09 15:30:03+00:00;weirdkween;Skyie, no paraíso 🎸;IRRUUUUU, Eu tirei: Joy. Só Joy.! E você? https://t.co/I3xATM48Vs #chanbaek #fanfic #exo via @Quizur_PT @sorvetae @eden_theparty
2022-03-09 15:26:20+00:00;dustIights;mia;Eu tirei: Joy. Só Joy.! E você? https://t.co/Yp4dsc8Tf6 #chanbaek #fanfic #exo via @Quizur_PT
2022-03-09 15:26:20+00:00;dustIights;mia le fay;Eu tirei: Joy. Só Joy.! E você? https://t.co/Yp4dsc8Tf6 #chanbaek #fanfic #exo via @Quizur_PT
2022-03-09 14:06:37+00:00;Rodrigo58261573;Rodrigo Moura da Sil;@RenanSantosMBL Inepto. Vai cuidar da tua próxima tour de blond que eh melhor ( fanfic mental) Nunca foi sobre Lula, ou Bolsonaro, ou Moro. O que vcs do MBL desejam eh só surfar na onda do momento. A era golpista/ surfista de vcs está acabando, para a nossa alegria!!!!
2022-03-09 03:42:36+00:00;rolao_do_wonho;abcdefghijkl__opqrstuvwxyz;@LemonCyr vou aderir essa de postar fic das minhas pt
2022-03-08 21:53:57+00:00;xichenghome;Dani ◽ JamieM;Precisaria estruturar melhor, ver como seria a dinâmica dos personagens e tudo...  Já tenho uma fic escrita nesse cenário, mas é em inglês, e por isso eu queria fazer uma coisa em pt utilizando ele pra poder explorar melhor 🤔 Ás vezes vai nascer mais uma coisa aí, vamos ver
2022-03-08 21:10:05+00:00;artheronchild;Flávia POSTOU ATT DA AU CHAT BLANC;o valter foi a melhor amizade que eu fiz na escola ano passado ele é minha metade: a gente fala de assuntos sérios e profundos, tbm fofoca e faz muita piada de lgbt x hétero top, fala de cultura pop ele é o cara que eu posso falar de fanfic e política simplesmente tudo
2022-03-08 20:40:46+00:00;sunoosoIzinho;tori&jay | jaywon au 📌;@attpIease UE AMIGAKKKK as # sao as mais famosas do site com essa #, tipo, a minha ta em 1 de kimsunwoo, que tem 68 historias (em pt br), no caso, ela durante esse tempo q ta em 1 (ja tem 1 semana) ela é maior do site, se alguem pesquisar algo q tem haver com a fanfic tipo +
2022-03-08 17:25:12+00:00;crf_maykelen;may;@bfr_julia https://t.co/LFtkEhow28 kkkkkkkkknão sou só eu n tá kkkkk um monte de gente concorda com essa fan fic, no tik tok o pessoal vive fazendo vídeos parecidos com esse
2022-03-08 09:38:00+00:00;freeoposittion;marcela com ciro🌹;fico imaginando eu tendo que contar que eu escrevia fanfic de político e aí encontrei o pdt https://t.co/nP3hy1kquY
2022-03-08 06:06:13+00:00;poemvelez;Bia 🎬 📖 Sing;@dilaosereleper Senta que lá vem fic eu faço academia com o m (eu chamava ele de MBL = meu boy loiro daí passou a ser canela fina) então descobri depois das fic que o bichinho namora daí desistir então uma amiga minha descobriu que o irmão dele é solteiro,sem paquera atual e é vaidoso
2022-03-08 04:59:38+00:00;wuxianfcb;je;@thvsingle do lado da página tem o filters, ali eles msm sugerem algumas tags!! 🤧 qualquer dúvida ou se ficou confuso, pode me chamar! aaa um detalhe, pra mim ao3 vale a pena se gosta de ler em inglês, pq quase não tem fic em pt
2022-03-07 23:48:25+00:00;2MinPjct;𝟐𝐌𝐈𝐍 𝐩𝐫𝐨𝐣𝐞𝐜𝐭⁷;Estou ansiosa para ler o capítulo de hoje junto com vocês shauhsuahsuh Será que o Jimin vai conseguir algo com o Yoon?? #2minpjct #yoonmin #minimini Wattpad:https://t.co/fbrwAPBsOX Spirit:https://t.co/ChHCn4vLVY Ao3:https://t.co/4BlujTP6QF Inkspired:https://t.co/5zQxD9jIDD
2022-03-06 23:21:33+00:00;TalitaBombarde;Talita #vacinasim #vivaosus;Então é normal que os últimos capítulos sejam mais longos pra fechar as pontas.  Além disso meu estilo de escrita é mais simples, objetivo e atraente ( mesmo que a minha fic fale sobre politica).  Conclusão: preciso parar de me comparar com os outros e confiar em mim.
2022-03-06 18:10:06+00:00;ltsailormoon;ؘ⚝;tenho que tomar vergonha e começar a ler fic em inglês, mas eu acomodei taaaanto no wattpad em pt
