,Classificacao,Tweet
0,Midia,tweet
1,Midia,gente será que na próxima festa já vamos ter mais episódios da minha fic predileta 
2,Midia,escrevendo uma fic onde o viny se recusa a sair do bbb e deixar na casa o seu amor proibido por isso envenena a sua bebida e de eliezer em segredo pra que os dois continuem juntos na casa pela eternidade 
3,Midia, oxi isso ai n é fic de filme da netflix 
4,Midia,tô terminando uma oneshot que é fanfic de um livro nacional que li esses dias e vou publicar ele no wattpad e ai vou começar a trabalhar em um romance fake lovers pra publicar na amazon
5,Midia, eu ia virar escrava do meu namorado por um dia e detalhe depois q a jade saiu eu discuti com ele quase q a gente termina porq ele foi defender arthur é verdade não é fic combinamos depois de não comentar mais bbb kkk 
6,Midia,lá vou eu adicionar mais uma fic na minha lista que só não é maior que minha wish list da amazon 
7,Midia, a fic meu pai esquece a jade ela não está mais no bbb 
8,Midia,então gente essa fanfic que publicaram é impossível de ser minimamente crível ou vocês acham que um metallica da vida vai pisar num palco montado por um monte de crackudo ou a globo vai transmitir o palco desabando a qualquer momento pelamor 
9,Midia, tem que inventar bbb sem conteúdo é o bbb de público fanfiqueira 
10,Midia,encantada passando na globo e eu imediatamente penso nas satzu da fic 
11,Midia, acho que é fic sim pq até agora ela não fez show inclusive tem um contrato que a fez ela assinar pra fazer show só após final do 
12,Midia,galera to afim de me iludir algum bbb internacional já teve repescagem no meio do programa to rendida na fic kkkkkk
13,Midia,e pensar que eu torcia pra ele mas ele se entregou pra fan fic vem se tratar aqui fora viny 
14,Midia,nova fic jade na globo gravando a vinheta de repescagem 
15,Midia,viny partindo p cima do boy fazendo a fic de milhões casal homo do bbb sendo pipoca nordestino e tomando hate de geral por não ser um escolhido sudestino 
16,Midia, eu discordo tiraram o gil logo o gil que tbm teve vários closes errados do tipo não o gil recebeu panos pq ele era engraçado e tinha algo a oferecer no jogo o vyni simplesmente não tem méritos sobre criar fic com hetero fora da casa é aceitável agora vc tá dentro do bbb e
17,Midia,gente mas q ta rolando nesse bbb a fanfic 
18,Midia,o não foi pro como foco de mudar sua vida financeira ele foi pro bbb pra viver uma fic com o e por isso que o brasil ficou tão decepcionado… coloquem ele num reality de relacionamento q ele encaixa direitinho 
19,Midia,sério a melhor coisa que existe nesse bbb é a fic da pregnat
20,Midia,ele tá vivendo a fanfic dele no bbb 
21,Midia,falaram pra eliminar as plantas mas plantas já tão indo pra final e a melhor parte as mídias manipulam falas e gestos distorcidos lá dentro e pra quem n se informa é munição pra falar merda tocar hate atoa por uma fic mas é isso bbb pra mim era pra entreter e n estressar
22,Midia, assim aksjakajak pior que ela deu uma questão pessoal que era sobre o nosso livro preferido e falou que o dela era a bíblia eu sim é uma ótima fanfic pra assustar trouxa
23,Midia,a larissa eh a maior fanfiqueira do bbb lkkk
24,Midia, kkkkkkkkkkkkkkkkka fanfic gay do bbb meu pai amado eu n sei como reagir a isso aq amg eu tô 
