,Classificacao,Tweet
0,Politica,tweet
1,Politica,postei um vídeo que leio fanfic quando tenho dias ruins por ser um coping mechanism e… minhas fics fav atualizaram é sobre perder mas perdi feliz
2,Politica,eu acho engraçado que as fanfic que a galera tinha na adolescência sempre envolvem romance sendo que a minha fanfic era que o gandalf o d mbl dore e o oráculo de w i t c h apareciam ao mesmo tempo pra me pedir pra salvar os mundos deles 
3,Politica, na fic que vcs criaram ele já é presidente é 
4,Politica,to querendo ler coisas em portugues e como eu nao aguento wattpad e quase nao tem fic em pt no eu vou começar a procurar livro de vdd que tragedia
5,Politica, medioli candidato ao governo de minas tá apelando e colocando o jornal de propriedade dele para criar fanfic e tentar colocar pulga atrás da orelha da população contra o excelente trabalho do nosso governador que será concorrente dele 
6,Politica,a qualidade do vídeo é de centavos mas a fanfic é de milhões 
7,Politica,fonte stalin casou duas vezes a primeira esposa morreu em a segunda morreu em e se essa tal lei existiu eu pelo menos nunca ouvi falar o cara meteu a fanfic na cara dura pra dizer que hoje não existe honra na política kkk que negócio ruim 
8,Politica,tá eu sei que foi a estrutura política social e econômica que roubou a alegria de viver de todo mundo mas poxa chatão adulto formado torrar a paciência das criança fanfiqueira né hauahauahaua
9,Politica,saiu mais um capítulo de somos mais clichês que uma fanfic jimin spirit wattpad inkspired 
10,Politica, me tira do flop no ttk amor o nome da fanfic é “spider man is my boy friend dove and tom” meu user la é lt 
11,Politica,com anos eu e meu melhor amigo estávamos criando uma fanfic no wattpad sobre um futuro utópico em que eu era uma escritora e cineasta famosa morando em uma mansão e ele era o presidente do brasil e nossos filhos começavam a namorar 
12,Politica,confira o vídeo de morg quem adivinha a fanfic larry só pela foto essa ta fácil
13,Politica, vamos fazer uma comunidade dos haters de social media au e seu publico que acha que au é sinônimo de fanfic eu sou a presidente
14,Politica,algum sabe se existe fanfic sáfica da máfia me indiquem se souberem pd ser em pt ou ing falto faz
15,Politica, gostei desse tipo de vídeo me dirto bastante fanficando
16,Politica,a pessoa faz uma fic q mostra q bolsominion é gente boa já q ela veio trocando papo super de boa talvez o problema seja a sua visão q tudo é política 
17,Politica, em falar em fanfic vão lá dar uma força no edit de jadré 
18,Politica,pra quem lê alh e usa tik tok eu postei trailer da fanfic lá pra poder divulgar se você puder dar like pra alcançar mais pessoas significaria muito vou tentar postar mais vidinhos sobre a fic lá 
19,Politica, essa nem parece fanfic pq não deu mau exemplo mas é o pensamento de titica de pombo que acha que clicar botões numa urna define a sua vida o msm serve pra quem diz que quem vota no pt é ladrão a gente sabe que a maioria é só trouxa mesmo 
20,Politica, faltou um criança de anos falando sobre ciência política suástica tatuada e xingamentos nota pela fanfic melhore da próxima vez 
21,Politica, pelo o que vejo que se criou uma fic de que ela queria ser uma juliette mas pelo o que vejo dela nunca se mostrou isso o a vi é ela passando por vários grupos interagindo c todo mundo fazendo meio q a política da boa vizinhança por isso demorou a ser votada
22,Politica, caiu direitinho na fanfic do putin você tem que entender que nada justifica essa guerra ucrânia é um país democrático e soberano com representação de todo povo na política inclusive os pro rússia toda justificativa dessa guerra é falsa 
23,Politica,lendo sobre política e sistema de saúde mas queria mesmo era ler fic 
24,Politica,eu comentei isso aqui em janeiro info dos passarinhos do e teve quem dissesse que era fic pois recebam orlando é bem abastecido de informações e repassa tudo nas lives dele 
25,Politica,poucas coisas na internet são mais deprimentes do que fanfic política envolvendo crianças só acredita que criança pequena se importa com política odeia um político ou ama o outro quem não convive com criança nenhuma 
26,Politica, eu duvido mt q ela faça alguma coisa na área política e econômica o perfil dela so tem fanfic e conjunto de roupa velho kkkkk
27,Politica, bora fanficar com efeito essa foi a minha fic abo
28,Politica,hongjoong da minha fanfic se manifestando pt 
29,Politica, aproveitando o assunto pra falar q traduzo uma fic com autorização e ela literalmente passa como pt br pq faço um bom trabalho não tem como usar tradução livre gente eu faço bom uso de todas as expressões do idioma inglês passando pro pt da nossa forma 
30,Politica, legal que o subconsciente do esquerdista sabe qual é a verdade e ele descreve na fanfic dele “a culpa não é do presidente”
31,Politica, essa dai é especialista em fic política 
32,Politica,meu deus tem fanfic do presidente da ucrania com o da frança o povo chapa
33,Politica, maior rival do pt em minas e o desavisado brotando com fic 
34,Politica, fic kkkkkkkkk forçaram demais o su hyeok com a presidente amg ele e o cheong san gt 
35,Politica,the eros markjin pt onde jinyoung toma uma poção para conquistar jackson e youngjae à mark mas dá tudo errado eu me rachei toda com essa fanfic tanto que quando a autora voltou a postar eu li toda de novo muito boa 
36,Politica,touch pt youngjae é um violinista que não consegue mais se concentrar depois que conhece jaebeom um bailarino essa fic aqui me faz lembrar de outro ship meu eu gosto muito mas tá incompleta 
37,Politica,gay panic bts taekook side namjin e yonseok pt taehyung é o garoto novo meio lerdinho porque nunca foi pra escola e desperta a ira de jungkook o valentão essa fic é muito engraçada é um clichê bem escrito que vale a pena 
38,Politica,workaholic pt jaebeom é um ceo e youngjae seu assistente que trabalha demais e jaebeom fica aporrinhando clássico ceo fic gosto muito 
39,Politica,sinais pt jaebeom se interessa por um rapaz na faculdade só que ele é surdo entãoo pra se aproximar ele aprende a língua de sinais gostei muito da forma como aborda a deficiência nessa fic 
40,Politica, não há nada de realismo aqui só uma fanfic alucinada nascida de um típico do bolsonarismo envergonhado da tal via essa da petrobrás quebrada nos anos do pt é fakenews requentada de tempos em tempos 
41,Politica,segundo capítulo dessas fanfic que mexe com nossos corações yoonmin sofredores reminiscência está no ar spirit wattpad inkspired 
42,Politica, que vergonha ter uma filha criança falando palavrão e se preocupando com política ainda bem que é fanfic meus filhos eu protejo mesmo eles não tem ideia de que exista esse tipo de idiotice pra se preocupar na vida e não falam um palavrão 
43,Politica,começou essa merda de fanfic política forçando criancinhas politizadas haja saco que no inventa isso é tão burro assim para não enxergar que ninguém acredita 
44,Politica, amggg kkkkkkkkk dps de anos to escrevendo uma fic e parece q to esticando tds os musculos do meu cérebro porem é aquela coisa em pt simplesmente n fica tao bom qnt em ing humilde opiniao 
45,Politica, essa é a realidade a fanfic dele é achar q é um bom presidente kkkkkkk
46,Politica,duvido ajudarem a engajar minha fic dando so um like aqui 
47,Politica,vou ler fanfic pois debater política com kpopper é igual falar com a parede
48,Politica, praticamente só tô lendo fic em inglês agr pq o quase não tem nada em pt principalmente do stray kids e eu me recuso a ficar vendo propaganda a cada cap no wattpad
49,Politica,olha bem pra minha cara de quem vai se estressar com kpopper bolsonara inventando fic política
50,Politica, eu vi as fotos em baixo mo surreal isso mas tb td hr vejo alguem falar de neonazismo la inclusive que o presidente apoia oq é claramente um achismo como se fosse a maior vdd do mundo passo mal nas lendas da fic
51,Politica, vc pode criticar o mbl a vontade ninguem ta livre de criticas agora dizer q eles afundaram o brasil e q foram responsaveis pelo fim da lava jato ai e fan fic ai é estar em um universo paralelo
52,Politica, acho q retiraram todas as traduções em pt br
53,Politica,eu não creio que tirei meu dumbo ovo choraaaa via 
54,Politica,eu tirei oh sehun e você 
55,Politica,eu tirei joy só joy e você 
56,Politica,irruuuuu eu tirei joy só joy e você via 
57,Politica,irruuuuu eu tirei joy só joy e você via 
58,Politica,eu tirei joy só joy e você via 
59,Politica,eu tirei joy só joy e você via 
