,Classificacao,Tweet
0,Romance,tweet
1,Romance, gnt a melhor fic é o cara que foi no catfish falando que queria conhecer a menina que ele conversava pq ele tinha certeza que era a katy perry dai descobriram que nao era ela e ele surtou cismou que o programa tinha pagado a garota pra fingir que ela tinha criado um fake
2,Romance,mano n é possível q tão fazendo fanfic hot do daelo juro o menino tem literalmente anos
3,Romance, do jeito q as coisas tão prefiro me mata doq esperar viver meu romance de fanfic
4,Romance, queria tanto já não chega ser viúva de hyx que nunca vem agora tenho que sofrer com essas ideias de fic que não encontro só sofrência aiaiai
5,Romance,tem um menino q eu sigo no insta q juroooooo minha paixão platônica minha maior fic de todas esse garoto
6,Romance,sdds de ler uma fanfic lisoo ou chaesoo cheia de clichê e muito romance
7,Romance, lembrei das fic que colocam o gregory tendo um crush na pen 
8,Romance,eu criei uma fic com o menino que eu conheci lá no rio e pra todos que estão duvidando de mim vai acontecer ainda cs vão ver
9,Romance, esse povo criando fic com a menina que ninguém sabe se tá nem viva
10,Romance, tá falando do dia que ele defendeu o renato gaúcho cobrando mais seriedades dos jornalistas de qual romance tu tirou essa fic de dar os nomes pra mancha verde hahahaha cada um que acho no tt 
11,Romance,vou contar uma história eu usava o bumble né aí um menino deu match cmg e eu chamei ele p conversar trocamos instagram e a gente se seguiu ele falou p mim que jogava tarot aiiiii pedi p ele fazer cmg em chamada de vídeo e td que ele puxou nas cartas aconteceu e não não e fic
12,Romance,pa correndo ao encontro de jade me deixem com minha fic 
13,Romance,esse menino tá passando vergonha real menos meu filho mas bem menos vai viver tua vida e para de fazer fan fic com quem explicitamente não te quer plmds
14,Romance, escreve fic pelo q eu lembro foi a menina do print e eu te mandei q tentou me dar fecho
15,Romance,hj eu compartilhei de um momento incrível com meu crush da escola peguei copos pra gente e ele colocou o meu café e o dele o diálogo foi curtíssimo eu nunca sei como reagir kkkk mas deu pra fanficar um pouquinho
16,Romance,a menina desenhando fanfic dela com o menino da lojinha eu vou passar mal 
17,Romance,me encontro escrevendo pq não acho nenhuma fic que supra meu tédio e as au que gosto estão todas paradas
18,Romance,nao serio vou ler aquela fic que o daniel fica com a irma da ex morta serio queria encontrar a menina que escreveu essa fic pq eu amo muito ja li mil vezes
19,Romance,tô terminando uma oneshot que é fanfic de um livro nacional que li esses dias e vou publicar ele no wattpad e ai vou começar a trabalhar em um romance fake lovers pra publicar na amazon
20,Romance,virei amiga da crush kakakakaka a fanfic tá pronta
21,Romance, mas pra mim é a mulher gato que mais se distancia de ser somente a namorada do batman diferente das hq ela tem o porque do romance e tem motivação para fazer o seus corre nunca vi química entre os dois mas nesse filme eu comprei a fic
22,Romance,mais infos desnecessárias sobre o after tinha uma menina parecidissima com a kate y maravilha na festa super produzida antes de ir perguntar pra ela já tinha espalhado a fic pra metade da festa quem era ela 
23,Romance,esse negócio dessa menina procurando o cara q ela beijou é fic minha gente pelo amor aí aparece o cara dizendo que chegou na namorada dele já pegaram print anterior a isso com eles interagindo aqui 
24,Romance,criei uma baita fanfic cm o menino do terminal e do nada ele aparece namorando sem me avisa 
25,Romance, o curioso caso da menina que foi pegar o link da fanfic e nunca mais voltou
26,Romance,eu quero viver um romance de fanfic
27,Romance,a menina cria a fic dela e ainda espalha atualiza a fic na hora de dormir filhona
28,Romance,sério leiam essa fic nela tem neil indo pro encontro agredindo todas as leis da moda andrew comendo as coisas apimentadas só pq ele é muito gay pelo neil andrew caindo da cadeira no encontro andrew tenso gay panic com o neil falando francês é tudo de bom 
29,Romance,essa menina é muito estranha ela me manda mensagem na dm loucamente e fica fazendo fanfic com meu nome vei 
30,Romance,hj no ônibus tinha uma menina lendo fanfic em voz alta a vergonha alheia que eu senti mano
31,Romance,eu acho engraçado que as fanfic que a galera tinha na adolescência sempre envolvem romance sendo que a minha fanfic era que o gandalf o d mbl dore e o oráculo de w i t c h apareciam ao mesmo tempo pra me pedir pra salvar os mundos deles 
32,Romance,eu preciso ir num chiluc date em genshin urgente eu não tenho mais a menor vontade de jogar tenho que introduzir fanfic no jogo
33,Romance,date de hoje jogar jogo de fanfic e morrer de rir e ficar eita
34,Romance,cara eu odeio quando eu to lendo uma fic e no começo aparece ai o a namorado a de harry louis tipo essa porra só atrasa o romance dos larry 
35,Romance,onde encontro a fanfic da selena gomez e faustão gostaria muito de ler
36,Romance,a menina malvada e eu debatendo sériamente sobre uma fanfic de sugar daddy 
37,Romance, menina eu to obcecada nesse livro inclusive escrevendo fanfic meu deus suzanne alugou um triplex na minha cabeça
38,Romance, o deus não tô defendendo não colega eu falo sobre a autora e não sobre a fic se você ler os comentários acima vai ver meus diálogos com uma menina chamada manu da uma lida pra ver se to defendendo algo 
39,Romance,com anos eu já tava postando fic de crepusculo e my chemical romance 
40,Romance,e eu q achei q betty da taylor swift fosse ela saindo do armário mas eh na visão de um menino de uma fanfic q ela criou
41,Romance, menina ela é igual águas de março pra mim aquela fic reconfortante pra preencher o coração
42,Romance,serio viver uma fanfic de romance escolar com coisas bobas como cartinhas e saidas pra tomar sorvete 
43,Romance, amiga eu tbm já criei toda uma fic de como seria o encontro as conversas como seria tudoooooooo tenho o script montado e como uma boa sapatao emocionada eu já planejei até uma vida filhos cachorros enfim a iludida
44,Romance, menina kkkkkkkkkkkk eu tava comentando justamente sobre isso esses dias voltei para um buraco de sterek tyler hoechlin dylan o brian dai foi só ladeira abaixo bknsbsblb é ler fanfic na hora de dormir nos intervalos e ouvir playlist te kinning por certos personagens
45,Romance,cheguei no auge da minha vida minha mãe lendo fanfic de menina pobre q vai pro eua virar baba de criança órfão
46,Romance,a mãe criando uma fanfic do menino do mercado comigo que porr
47,Romance,o boyzinho do provador ao lado elogiou minha roupa e a fic já tá pronta aqui na minha cabeça
48,Romance, deixa oa menino ser feliz que odio parem de conteudo projetivo nao é pq vc quer que fulano interaja com ciclano que ele vai eles nao recebem o roteiro da sua fanfic e ame os todos os sem saco pra anti e shipper tóxico 
49,Romance,quem nunca viu por aí uma fanfic de s n que tinha perdido os pais e morava num futuro pós apocalíptico e tinha um romance com insira algum membro do bts one direction com capas feitas no picsart e mudanças no html pra edição ficar mais caprichosa que atire a primeira pedra 
